Date,Time,Open,High,Low,Close,Volume
2017.02.08,09:00,1.63671,1.63801,1.63599,1.63749,3683
2017.02.08,10:00,1.63756,1.63774,1.63484,1.63692,3274
2017.02.08,11:00,1.63692,1.63732,1.63491,1.63617,2931
2017.02.08,12:00,1.63617,1.63692,1.63434,1.63584,2972
2017.02.08,13:00,1.63584,1.63805,1.63507,1.63664,4129
2017.02.08,14:00,1.63664,1.63854,1.63493,1.63532,5423
2017.02.08,15:00,1.63535,1.63992,1.63383,1.63875,6122
2017.02.08,16:00,1.63871,1.63981,1.63676,1.63973,3679
2017.02.08,17:00,1.63971,1.64077,1.63825,1.63989,2420
2017.02.08,18:00,1.63996,1.64109,1.63927,1.63941,4337
2017.02.08,19:00,1.63938,1.64085,1.63876,1.64076,1723
2017.02.08,20:00,1.64079,1.64223,1.63973,1.64019,2656
2017.02.08,21:00,1.64015,1.64163,1.63937,1.63975,1793
2017.02.08,22:00,1.63975,1.64094,1.63877,1.64085,1054
2017.02.08,23:00,1.64072,1.64130,1.63987,1.64060,3591
2017.02.09,00:00,1.64062,1.64202,1.64019,1.64083,2191
2017.02.09,01:00,1.64078,1.64135,1.63946,1.64076,1784
2017.02.09,02:00,1.64074,1.64188,1.63935,1.64180,1947
2017.02.09,03:00,1.64180,1.64381,1.64125,1.64193,2902
2017.02.09,04:00,1.64191,1.64194,1.64049,1.64109,1520
2017.02.09,05:00,1.64107,1.64110,1.63921,1.63978,1522
2017.02.09,06:00,1.63974,1.64086,1.63954,1.64065,1392
2017.02.09,07:00,1.64072,1.64213,1.64050,1.64196,2379
2017.02.09,08:00,1.64196,1.64811,1.64193,1.64578,4903
2017.02.09,09:00,1.64573,1.64777,1.64025,1.64047,3932
2017.02.09,10:00,1.64043,1.64292,1.63967,1.64227,2874
2017.02.09,11:00,1.64223,1.64412,1.64068,1.64285,3683
2017.02.09,12:00,1.64285,1.64285,1.64048,1.64119,4189
2017.02.09,13:00,1.64111,1.64175,1.63963,1.64075,4083
2017.02.09,14:00,1.64074,1.64291,1.63898,1.64285,3625
2017.02.09,15:00,1.64290,1.64548,1.64108,1.64176,6394
2017.02.09,16:00,1.64174,1.64282,1.64062,1.64144,4671
2017.02.09,17:00,1.64147,1.64223,1.63873,1.63957,3429
2017.02.09,18:00,1.63955,1.64072,1.63762,1.63804,2518
2017.02.09,19:00,1.63807,1.63847,1.63718,1.63770,2028
2017.02.09,20:00,1.63770,1.63841,1.63733,1.63835,2239
2017.02.09,21:00,1.63835,1.63852,1.63776,1.63812,1619
2017.02.09,22:00,1.63806,1.63912,1.63734,1.63910,626
2017.02.09,23:00,1.63911,1.63911,1.63735,1.63859,2868
2017.02.10,00:00,1.63863,1.64146,1.63810,1.64044,2785
2017.02.10,01:00,1.64046,1.64077,1.63802,1.63866,2424
2017.02.10,02:00,1.63866,1.63880,1.63617,1.63617,2122
2017.02.10,03:00,1.63619,1.63623,1.63401,1.63465,2162
2017.02.10,04:00,1.63465,1.63630,1.63459,1.63528,1397
2017.02.10,05:00,1.63526,1.63696,1.63473,1.63564,1567
2017.02.10,06:00,1.63561,1.63660,1.63482,1.63577,1743
2017.02.10,07:00,1.63572,1.63572,1.63169,1.63308,3301
2017.02.10,08:00,1.63308,1.63382,1.63074,1.63084,4080
2017.02.10,09:00,1.63088,1.63675,1.63050,1.63549,3832
2017.02.10,10:00,1.63549,1.63663,1.63362,1.63460,3832
2017.02.10,11:00,1.63456,1.63497,1.62801,1.62912,3123
2017.02.10,12:00,1.62910,1.63094,1.62752,1.63009,3842
2017.02.10,13:00,1.63011,1.63035,1.62840,1.62911,4165
2017.02.10,14:00,1.62917,1.62949,1.62572,1.62757,4260
2017.02.10,15:00,1.62749,1.62780,1.62498,1.62670,5353
2017.02.10,16:00,1.62674,1.62899,1.62563,1.62639,4284
2017.02.10,17:00,1.62638,1.62724,1.62531,1.62656,3742
2017.02.10,18:00,1.62656,1.62677,1.62370,1.62481,4237
2017.02.10,19:00,1.62514,1.62628,1.62418,1.62589,3108
2017.02.10,20:00,1.62583,1.62659,1.62564,1.62647,2563
2017.02.10,21:00,1.62646,1.62734,1.62518,1.62593,1190
2017.02.12,22:00,1.62381,1.62907,1.62362,1.62891,758
2017.02.12,23:00,1.62893,1.62900,1.62657,1.62699,2555
2017.02.13,00:00,1.62703,1.63016,1.62677,1.62880,2208
2017.02.13,01:00,1.62874,1.62941,1.62719,1.62723,1753
2017.02.13,02:00,1.62715,1.62789,1.62632,1.62760,1716
2017.02.13,03:00,1.62761,1.62975,1.62694,1.62955,1920
2017.02.13,04:00,1.62959,1.63005,1.62902,1.62981,1634
2017.02.13,05:00,1.62986,1.63062,1.62952,1.63005,1960
2017.02.13,06:00,1.63009,1.63129,1.62889,1.62958,1680
2017.02.13,07:00,1.62958,1.63197,1.62797,1.63038,2830
2017.02.13,08:00,1.63033,1.63353,1.63026,1.63078,3533
2017.02.13,09:00,1.63072,1.63299,1.63044,1.63118,2448
2017.02.13,10:00,1.63119,1.63223,1.62955,1.63063,2319
2017.02.13,11:00,1.63059,1.63372,1.63053,1.63296,2939
2017.02.13,12:00,1.63290,1.63437,1.63244,1.63263,2546
2017.02.13,13:00,1.63260,1.63646,1.63234,1.63535,3540
2017.02.13,14:00,1.63530,1.63537,1.63218,1.63352,3782
2017.02.13,15:00,1.63354,1.63660,1.63239,1.63592,3727
2017.02.13,16:00,1.63598,1.63680,1.63499,1.63631,3240
2017.02.13,17:00,1.63631,1.63651,1.63480,1.63581,2457
2017.02.13,18:00,1.63581,1.63730,1.63556,1.63718,2197
2017.02.13,19:00,1.63715,1.63843,1.63691,1.63835,2266
2017.02.13,20:00,1.63840,1.63873,1.63769,1.63805,1784
2017.02.13,21:00,1.63800,1.63887,1.63716,1.63875,1255
2017.02.13,22:00,1.63865,1.63962,1.63753,1.63922,540
2017.02.13,23:00,1.63915,1.63934,1.63761,1.63837,782
2017.02.14,00:00,1.63841,1.63851,1.63512,1.63516,1667
2017.02.14,01:00,1.63520,1.63521,1.63146,1.63300,1913
2017.02.14,02:00,1.63305,1.63330,1.63221,1.63245,1786
2017.02.14,03:00,1.63243,1.63368,1.63177,1.63348,1567
2017.02.14,04:00,1.63353,1.63402,1.63262,1.63263,2103
2017.02.14,05:00,1.63263,1.63434,1.63213,1.63423,1897
2017.02.14,06:00,1.63423,1.63464,1.63185,1.63221,1733
2017.02.14,07:00,1.63218,1.63475,1.63192,1.63250,2989
2017.02.14,08:00,1.63245,1.63285,1.62981,1.63029,3659
2017.02.14,09:00,1.63020,1.63174,1.62237,1.62307,4489
2017.02.14,10:00,1.62312,1.62389,1.62025,1.62234,3667
2017.02.14,11:00,1.62219,1.62346,1.61917,1.61946,3107
2017.02.14,12:00,1.61949,1.62348,1.61941,1.62216,2535
2017.02.14,13:00,1.62223,1.62379,1.62118,1.62238,3178
2017.02.14,14:00,1.62233,1.62435,1.62220,1.62366,4365
2017.02.14,15:00,1.62365,1.63467,1.62353,1.63378,8895
2017.02.14,16:00,1.63380,1.63571,1.63117,1.63139,5130
2017.02.14,17:00,1.63138,1.63224,1.63020,1.63127,3611
2017.02.14,18:00,1.63149,1.63152,1.62951,1.62986,3101
2017.02.14,19:00,1.62984,1.63023,1.62852,1.62852,2989
